PC = 0000: MOV 5 <1>, 3 <n>, product
PC = 0001: MOV 5 <1>, 3 <n>, i
PC = 0002: SUB 3 <i>, 1 <n>, $temp
PC = 0003: JP 10 <$temp>, 4 <n>, 7
PC = 0004: MUL 2 <product>, 2 <i>, product
PC = 0005: ADD 4 <i>, 1 <1>, i
PC = 0006: JMP 8 <n>, 0 <n>, 2
PC = 0002: SUB 3 <i>, 1 <n>, $temp
PC = 0003: JP 10 <$temp>, 4 <n>, 7
PC = 0004: MUL 2 <product>, 2 <i>, product
PC = 0005: ADD 4 <i>, 1 <1>, i
PC = 0006: JMP 8 <n>, 0 <n>, 2
PC = 0002: SUB 3 <i>, 1 <n>, $temp
PC = 0003: JP 10 <$temp>, 4 <n>, 7
PC = 0004: MUL 2 <product>, 2 <i>, product
PC = 0005: ADD 4 <i>, 1 <1>, i
PC = 0006: JMP 8 <n>, 0 <n>, 2
PC = 0002: SUB 3 <i>, 1 <n>, $temp
PC = 0003: JP 10 <$temp>, 4 <n>, 7
PC = 0004: MUL 2 <product>, 2 <i>, product
PC = 0005: ADD 4 <i>, 1 <1>, i
PC = 0006: JMP 8 <n>, 0 <n>, 2
PC = 0002: SUB 3 <i>, 1 <n>, $temp
PC = 0003: JP 10 <$temp>, 4 <n>, 7
PC = 0004: MUL 2 <product>, 2 <i>, product
PC = 0005: ADD 4 <i>, 1 <1>, i
PC = 0006: JMP 8 <n>, 0 <n>, 2
PC = 0002: SUB 3 <i>, 1 <n>, $temp
PC = 0003: JP 10 <$temp>, 4 <n>, 7
PC = 0004: MUL 2 <product>, 2 <i>, product
PC = 0005: ADD 4 <i>, 1 <1>, i
PC = 0006: JMP 8 <n>, 0 <n>, 2
PC = 0002: SUB 3 <i>, 1 <n>, $temp
PC = 0003: JP 10 <$temp>, 4 <n>, 7
PC = 0004: MUL 2 <product>, 2 <i>, product
PC = 0005: ADD 4 <i>, 1 <1>, i
PC = 0006: JMP 8 <n>, 0 <n>, 2
PC = 0002: SUB 3 <i>, 1 <n>, $temp
PC = 0003: JP 10 <$temp>, 4 <n>, 7
PC = 0004: MUL 2 <product>, 2 <i>, product
PC = 0005: ADD 4 <i>, 1 <1>, i
PC = 0006: JMP 8 <n>, 0 <n>, 2
PC = 0002: SUB 3 <i>, 1 <n>, $temp
PC = 0003: JP 10 <$temp>, 4 <n>, 7
PC = 0004: MUL 2 <product>, 2 <i>, product
PC = 0005: ADD 4 <i>, 1 <1>, i
PC = 0006: JMP 8 <n>, 0 <n>, 2
PC = 0002: SUB 3 <i>, 1 <n>, $temp
PC = 0003: JP 10 <$temp>, 4 <n>, 7
PC = 0004: MUL 2 <product>, 2 <i>, product
PC = 0005: ADD 4 <i>, 1 <1>, i
PC = 0006: JMP 8 <n>, 0 <n>, 2
PC = 0002: SUB 3 <i>, 1 <n>, $temp
PC = 0003: JP 10 <$temp>, 4 <n>, 7
PC = 0007: PRINT 6 <product>, 2 <n>, n
n
PC = 0008: STOP 0 <n>, 0 <n>, n
